PRODUCT_TABLE,QUERY,GEO,ITERATION,COUNT
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,0,1379
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,1,1382
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,2,1375
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,3,1382
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,4,1373
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,5,1382
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,6,1389
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,7,1376
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,8,1380
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,9,1379
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,10,1376
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,11,1385
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,12,1378
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,13,1380
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,14,1379
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,15,1376
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,16,1378
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,17,1377
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,18,1382
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,19,1386
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,20,1374
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,21,1380
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,22,1382
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,23,1380
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,24,1377
DHCH H4,H0040001: Total,ST-COU-TR: 24-033-807200,25,1384
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,0,106
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,1,107
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,2,105
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,3,108
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,4,103
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,5,108
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,6,106
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,7,106
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,8,103
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,9,105
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,10,104
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,11,110
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,12,103
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,13,104
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,14,105
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,15,106
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,16,105
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,17,109
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,18,111
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,19,105
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,20,103
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,21,109
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,22,107
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,23,108
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,24,109
DHCH H4,H0040002: Owned mortgage,ST-COU-TR: 24-033-807200,25,108
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,0,17
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,1,17
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,2,14
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,3,13
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,4,11
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,5,18
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,6,14
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,7,13
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,8,15
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,9,18
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,10,23
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,11,19
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,12,14
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,13,14
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,14,11
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,15,13
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,16,17
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,17,15
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,18,16
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,19,8
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,20,13
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,21,8
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,22,10
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,23,9
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,24,15
DHCH H4,H0040003: Owned no mortgage,ST-COU-TR-BG: 24-033-807200-1,25,17
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,0,383
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,1,385
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,2,382
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,3,394
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,4,386
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,5,393
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,6,387
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,7,387
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,8,382
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,9,386
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,10,375
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,11,385
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,12,387
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,13,388
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,14,381
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,15,383
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,16,385
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,17,387
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,18,378
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,19,384
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,20,383
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,21,383
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,22,387
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,23,382
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,24,391
DHCH H4,H0040004: Rented,ST-COU-TR-BG: 24-033-807200-1,25,381
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,0,665025
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,1,665011
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,2,665016
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,3,665023
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,4,665037
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,5,665028
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,6,665020
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,7,665068
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,8,664974
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,9,665014
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,10,665045
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,11,665010
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,12,665035
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,13,665030
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,14,664980
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,15,665008
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,16,665040
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,17,665011
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,18,665029
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,19,665020
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,20,665027
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,21,665042
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,22,665049
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,23,665025
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,24,665021
DHCP PCT8,PCT0080001: Total NonVoting,STATE: 32,25,665025
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,0,663773
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,1,663737
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,2,663771
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,3,663721
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,4,663766
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,5,663762
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,6,663766
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,7,663798
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,8,663735
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,9,663768
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,10,663742
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,11,663751
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,12,663797
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,13,663781
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,14,663708
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,15,663744
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,16,663783
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,17,663770
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,18,663774
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,19,663745
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,20,663772
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,21,663766
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,22,663774
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,23,663793
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,24,663749
DHCP PCT8,PCT0080002: NonVoting Household,STATE: 32,25,663775
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,0,744
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,1,795
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,2,819
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,3,729
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,4,785
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,5,789
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,6,799
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,7,804
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,8,775
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,9,826
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,10,767
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,11,794
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,12,824
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,13,775
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,14,777
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,15,809
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,16,824
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,17,787
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,18,790
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,19,792
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,20,807
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,21,830
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,22,805
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,23,759
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,24,816
DHCP PCT8,"PCT0080003: Nonvoting Householder, spouse",STATE: 32,25,817
DHCP PCT8,PCT0080021: Nonvoting Institutional ,STATE-COUNTY: 32-021,0,13
DHCP PCT8,PCT0080021: Nonvoting Institutional ,STATE-COUNTY: 32-021,1,5
